interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
1000.00;1040.00;0.00;id_-E1_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
1000.00;1040.00;1.00;id_-E2_0;1.00;0.00;0;1.00;1.00;0.00;0;2.03;4;1.00;1.00;0.00;0.00;1.65;12.20;2.02;3.27;3;2;6;130.90;1.00
1000.00;1040.00;51.00;id_-E2_1;46.00;237.55;45;45.00;40.00;12.54;2;1.52;3;25.50;23.00;5.94;1.12;1.03;5.04;17.18;2.02;2;1;3;81.00;1.00
1000.00;1040.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
1000.00;1040.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.64;12.55;0.94;1.90;2;2;4;76.00;0.00
1000.00;1040.00;39.00;id_-E3_1;39.00;190.00;38;39.00;39.00;5.00;1;1.01;3;39.00;39.00;4.75;0.95;0.56;5.36;10.30;1.68;3;3;4;67.00;1.00
1000.00;1040.00;170.00;id_-E3_2;105.00;680.19;104;73.00;40.00;20.10;3;1.68;5;56.67;35.00;17.00;2.60;1.19;2.83;18.89;3.55;3;2;6;142.00;1.00
1040.00;1080.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.52;7;0.00;0.00;0.00;0.00;1.98;12.24;1.58;5.55;5;3;10;220.90;0.00
1040.00;1080.00;25.00;id_E0_1;25.00;120.00;24;25.00;25.00;5.00;1;1.44;4;25.00;25.00;3.00;0.60;0.86;10.48;4.94;2.38;2;5;6;95.00;1.00
1040.00;1080.00;70.00;id_E0_2;69.00;410.06;68;41.00;40.00;12.53;2;1.80;5;35.00;34.50;10.25;1.70;1.11;5.98;15.04;3.08;3;1;5;123.00;1.00
